Product ID,Product Name,Inventory Date,Inventory Quantity,Original Price ($) / unit,Inventory Value ($),Sale Price ($) / unit,Total Items Sold,Total Items Sold Value ($),Total Items Sold Value Profit ($),AVG Items Sold per Month,AVG Sales Revenue ($) per Month,AVG Profit ($),Warehouse Location,Lead Time (days),Seasonal Sales (Y/N)
1001,Wireless Mouse,01-01-2024,100,15,1500,25,60,1500,600,20,500,200,New York,30,Y
1002,HDMI Cable,01-10-2024,200,8,1600,12,120,1440,480,40,480,160,Los Angeles,25,N
1003,USB Charger,01-15-2024,150,12,1800,20,90,1800,720,30,600,240,Chicago,20,Y
1004,Bluetooth Speaker,01-20-2024,80,40,3200,60,50,3000,1000,25,750,333.33,Miami,15,Y
1005,Smartwatch,02-01-2024,120,50,6000,80,100,8000,3000,33.33,666.67,250,Seattle,40,N
1006,Gaming Headset,02-05-2024,200,30,6000,45,150,6750,2250,50,750,250,New York,30,Y
1007,Fitness Tracker,02-10-2024,300,55,16500,85,200,17000,6000,66.67,850,500,Los Angeles,35,Y
1008,Portable Charger,02-15-2024,150,10,1500,15,100,1500,500,33.33,500,166.67,Chicago,45,N
1009,External Hard Drive,02-20-2024,180,60,10800,90,120,10800,3600,40,900,300,Miami,25,Y
1010,Wireless Keyboard,03-01-2024,250,25,6250,40,150,6000,2250,50,750,300,Seattle,30,N
1011,Power Bank,03-05-2024,120,18,2160,28,90,2520,900,30,840,270,New York,50,Y
1012,Portable SSD,03-10-2024,80,75,6000,120,60,7200,2700,20,1200,500,Los Angeles,40,N
1013,VR Headset,03-15-2024,50,150,7500,200,30,6000,1500,10,1200,500,Chicago,30,Y
1014,Smart Thermostat,03-20-2024,90,85,7650,130,70,9100,3150,23.33,1300,450,Miami,25,N
1015,Smart Door Lock,04-01-2024,75,65,4875,100,50,5000,1750,16.67,833.33,281.25,Seattle,35,Y
1016,Streaming Stick,04-05-2024,140,22,3080,35,100,3500,1166.67,33.33,1166.67,466.67,New York,40,Y
1017,Noise Cancelling Earbuds,04-10-2024,200,20,4000,150,150,5250,1750,50,1750,625,Los Angeles,50,Y
1018,Digital Photo Frame,04-15-2024,60,45,2700,70,40,2800,1000,13.33,933.33,400,Chicago,25,Y
1019,4K Action Camera,04-20-2024,85,110,9350,160,70,8800,2750,18.33,1466.67,550,Miami,30,N
1020,E-Reader,05-01-2024,100,65,6500,95,120,6650,2100,23.33,950,350,Seattle,25,Y
1021,LED Light Strip,05-05-2024,150,15,2250,25,120,3000,1200,33.33,1000,550,New York,35,Y
1022,Robot Vacuum,05-10-2024,90,180,16200,250,60,3000,1200,20,5000,233.33,Los Angeles,30,Y
1023,Smart Light Bulb,05-15-2024,100,20,2000,30,70,2100,700,23.33,700,233.33,Chicago,35,Y
1024,Smart Light Bulb,05-15-2024,50,50,2500,150,25,6750,1250,15,2250,125,Miami,40,N
